是否是合法影院,接入方, third_id, 影院名,影院id,bid, 加密bid, 影院url, 排期url, 排期来源,电影信息
1,dadi, '0001,佛山巴黎春天, '1351,'718491334064638512,'3574080d5096fa5a774ff1e0,http://www.nuomi.com/cinema/3574080d5096fa5a774ff1e0,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=3574080d5096fa5a774ff1e0&mid=9422&needMovieInfo=1&tploption=1&_=1428996072
","dadi
wangpiao
","9422/速度与激情7/25
"
1,dadi, '0002,广州挂绿, '732,'1265570727185088511,'c8e8f63302a88675ab0dd83a,http://www.nuomi.com/cinema/c8e8f63302a88675ab0dd83a,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=c8e8f63302a88675ab0dd83a&mid=9422&needMovieInfo=1&tploption=1&_=1428996074
","dadi
","9422/速度与激情7/32
"
1,dadi, '0003,佛山三水, '728,'1262581099234590719,'c879fa0186562053c909f05b,http://www.nuomi.com/cinema/c879fa0186562053c909f05b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=c879fa0186562053c909f05b&mid=9422&needMovieInfo=1&tploption=1&_=1428996077
http://www.nuomi.com/pcindex/main/timetable?cinemaid=c879fa0186562053c909f05b&mid=8901&needMovieInfo=1&tploption=1&_=1428996077
http://www.nuomi.com/pcindex/main/timetable?cinemaid=c879fa0186562053c909f05b&mid=9410&needMovieInfo=1&tploption=1&_=1428996078
http://www.nuomi.com/pcindex/main/timetable?cinemaid=c879fa0186562053c909f05b&mid=9432&needMovieInfo=1&tploption=1&_=1428996078
http://www.nuomi.com/pcindex/main/timetable?cinemaid=c879fa0186562053c909f05b&mid=9427&needMovieInfo=1&tploption=1&_=1428996079
","dadi
","9422/速度与激情7/15
8901/战狼/2
9410/咱们结婚吧/2
9432/魔法总动员/1
9427/冲锋车/2
"
1,dadi, '0004,佛山天佑城, '720,'1262581094939623423,'3810c8798a60a8929c09f75b,http://www.nuomi.com/cinema/3810c8798a60a8929c09f75b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=3810c8798a60a8929c09f75b&mid=9422&needMovieInfo=1&tploption=1&_=1428996082
http://www.nuomi.com/pcindex/main/timetable?cinemaid=3810c8798a60a8929c09f75b&mid=8901&needMovieInfo=1&tploption=1&_=1428996082
","dadi
","9422/速度与激情7/27
8901/战狼/1
"
1,dadi, '0005,江门金汇, '1595,'1262558692390207487,'8cba4bb099ac189dad045746,http://www.nuomi.com/cinema/8cba4bb099ac189dad045746,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=8cba4bb099ac189dad045746&mid=9422&needMovieInfo=1&tploption=1&_=1428996085
","dadi
","9422/速度与激情7/16
"
1,dadi, '0006,东莞现代, '707,'1258613438511316991,'37d60a46dc7545791e1d1142,http://www.nuomi.com/cinema/37d60a46dc7545791e1d1142,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=37d60a46dc7545791e1d1142&mid=9422&needMovieInfo=1&tploption=1&_=1428996087
","dadi
","9422/速度与激情7/39
"
1,dadi, '0007,湛江城市, '2519,'1260020766150230015,'2a7a25ec62869c7a6c3e1b42,http://www.nuomi.com/cinema/2a7a25ec62869c7a6c3e1b42,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=2a7a25ec62869c7a6c3e1b42&mid=9422&needMovieInfo=1&tploption=1&_=1428996090
","dadi
","9422/速度与激情7/9
"
1,dadi, '0008,广州员宫, '743,'1265570731480055807,'f633606ad11260570b69d93a,http://www.nuomi.com/cinema/f633606ad11260570b69d93a,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=f633606ad11260570b69d93a&mid=9422&needMovieInfo=1&tploption=1&_=1428996093
http://www.nuomi.com/pcindex/main/timetable?cinemaid=f633606ad11260570b69d93a&mid=8901&needMovieInfo=1&tploption=1&_=1428996094
","dadi
","9422/速度与激情7/29
8901/战狼/1
"
1,dadi, '0009,佛山东方, '722,'1262581090644656127,'15a93810b918bba414c8f65b,http://www.nuomi.com/cinema/15a93810b918bba414c8f65b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=15a93810b918bba414c8f65b&mid=9422&needMovieInfo=1&tploption=1&_=1428996096
http://www.nuomi.com/pcindex/main/timetable?cinemaid=15a93810b918bba414c8f65b&mid=8901&needMovieInfo=1&tploption=1&_=1428996097
http://www.nuomi.com/pcindex/main/timetable?cinemaid=15a93810b918bba414c8f65b&mid=9410&needMovieInfo=1&tploption=1&_=1428996097
http://www.nuomi.com/pcindex/main/timetable?cinemaid=15a93810b918bba414c8f65b&mid=9427&needMovieInfo=1&tploption=1&_=1428996097
","dadi
","9422/速度与激情7/42
8901/战狼/3
9410/咱们结婚吧/2
9427/冲锋车/2
"
1,dadi, '0010,中山时尚城, '2579,'1262554045235593215,'e3e2cd9d0fa73cfac7f50d42,http://www.nuomi.com/cinema/e3e2cd9d0fa73cfac7f50d42,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=e3e2cd9d0fa73cfac7f50d42&mid=9422&needMovieInfo=1&tploption=1&_=1428996100
","dadi
","9422/速度与激情7/18
"
1,dadi, '0011,中山国贸, '974,'17672303118815068159,'0a15c7ec937d2c81ed74f84a,http://www.nuomi.com/cinema/0a15c7ec937d2c81ed74f84a,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=0a15c7ec937d2c81ed74f84a&mid=9422&needMovieInfo=1&tploption=1&_=1428996103
","dadi
","9422/速度与激情7/24
"
1,dadi, '0012,东莞樟木头, '702,'4197574241345854728,'40205b62e315723af4e73b37,http://www.nuomi.com/cinema/40205b62e315723af4e73b37,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=40205b62e315723af4e73b37&mid=9422&needMovieInfo=1&tploption=1&_=1428996106
http://www.nuomi.com/pcindex/main/timetable?cinemaid=40205b62e315723af4e73b37&mid=9373&needMovieInfo=1&tploption=1&_=1428996106
","dadi
","9422/速度与激情7/11
9373/失孤/1
"
1,dadi, '0014,肇庆端州, '2540,'1262558984447983615,'15e1e85ea952ffbb58109347,http://www.nuomi.com/cinema/15e1e85ea952ffbb58109347,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=15e1e85ea952ffbb58109347&mid=9422&needMovieInfo=1&tploption=1&_=1428996109
","dadi
","9422/速度与激情7/17
"
1,dadi, '0015,江门益华, '2681,'17825495015896383487,'ef773a0f41be15372302208b,http://www.nuomi.com/cinema/ef773a0f41be15372302208b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=ef773a0f41be15372302208b&mid=9422&needMovieInfo=1&tploption=1&_=1428996112
","dadi
","9422/速度与激情7/18
"
1,dadi, '0016,上虞万和城, '883,'1261698900067090431,'593850fbae7c7f44df1e5274,http://www.nuomi.com/cinema/593850fbae7c7f44df1e5274,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=593850fbae7c7f44df1e5274&mid=9422&needMovieInfo=1&tploption=1&_=1428996115
http://www.nuomi.com/pcindex/main/timetable?cinemaid=593850fbae7c7f44df1e5274&mid=8901&needMovieInfo=1&tploption=1&_=1428996115
","dadi
","9422/速度与激情7/55
8901/战狼/3
"
1,dadi, '0017,上海弘基, '854,'1264488331001987071,'3be122e1c59d574b1ef74d1d,http://www.nuomi.com/cinema/3be122e1c59d574b1ef74d1d,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=3be122e1c59d574b1ef74d1d&mid=9422&needMovieInfo=1&tploption=1&_=1428996118
http://www.nuomi.com/pcindex/main/timetable?cinemaid=3be122e1c59d574b1ef74d1d&mid=8901&needMovieInfo=1&tploption=1&_=1428996118
","dadi
","9422/速度与激情7/29
8901/战狼/1
"
1,dadi, '0018,肇庆国际, '2539,'1262559010217787391,'b703e96bc25537e38f1a8947,http://www.nuomi.com/cinema/b703e96bc25537e38f1a8947,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=b703e96bc25537e38f1a8947&mid=9422&needMovieInfo=1&tploption=1&_=1428996121
","dadi
","9422/速度与激情7/25
"
1,dadi, '0019,金华中华, '796,'1259514922081976319,'fd007c5e534d6875a9f729b6,http://www.nuomi.com/cinema/fd007c5e534d6875a9f729b6,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=fd007c5e534d6875a9f729b6&mid=9422&needMovieInfo=1&tploption=1&_=1428996127
http://www.nuomi.com/pcindex/main/timetable?cinemaid=fd007c5e534d6875a9f729b6&mid=8901&needMovieInfo=1&tploption=1&_=1428996127
","dadi
","9422/速度与激情7/36
8901/战狼/1
"
1,dadi, '0020,江门金龙, '1589,'1259408024640946175,'15ed53cee9f70a4d9222e011,http://www.nuomi.com/cinema/15ed53cee9f70a4d9222e011,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=15ed53cee9f70a4d9222e011&mid=9422&needMovieInfo=1&tploption=1&_=1428996130
","dadi
","9422/速度与激情7/25
"
1,dadi, '0021,韶关中环, '2017,'1262558791174455295,'43b7e8891e31c07358f6be47,http://www.nuomi.com/cinema/43b7e8891e31c07358f6be47,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=43b7e8891e31c07358f6be47&mid=9422&needMovieInfo=1&tploption=1&_=1428996133
","dadi
","9422/速度与激情7/7
"
1,dadi, '0022,玉林时代, '2485,'669301164666495105,'f4ef93ccf2940f07d8eced6a,http://www.nuomi.com/cinema/f4ef93ccf2940f07d8eced6a,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=f4ef93ccf2940f07d8eced6a&mid=9422&needMovieInfo=1&tploption=1&_=1428996136
","dadi
","9422/速度与激情7/27
"
1,dadi, '0023,东莞缤纷时代, '704,'1259639312924803071,'d1469ee735acc47b84330427,http://www.nuomi.com/cinema/d1469ee735acc47b84330427,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=d1469ee735acc47b84330427&mid=9422&needMovieInfo=1&tploption=1&_=1428996139
http://www.nuomi.com/pcindex/main/timetable?cinemaid=d1469ee735acc47b84330427&mid=8901&needMovieInfo=1&tploption=1&_=1428996139
","dadi
","9422/速度与激情7/29
8901/战狼/1
"
1,dadi, '0024,湛江兴华, '2512,'1261707786354425855,'e889a74434ade1ac8605bf7d,http://www.nuomi.com/cinema/e889a74434ade1ac8605bf7d,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=e889a74434ade1ac8605bf7d&mid=9422&needMovieInfo=1&tploption=1&_=1428996142
http://www.nuomi.com/pcindex/main/timetable?cinemaid=e889a74434ade1ac8605bf7d&mid=8901&needMovieInfo=1&tploption=1&_=1428996142
","dadi
","9422/速度与激情7/24
8901/战狼/1
"
1,dadi, '0025,揭阳金城, '1606,'1258570626277310463,'eb3675039895ac0200ec011b,http://www.nuomi.com/cinema/eb3675039895ac0200ec011b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=eb3675039895ac0200ec011b&mid=9422&needMovieInfo=1&tploption=1&_=1428996145
http://www.nuomi.com/pcindex/main/timetable?cinemaid=eb3675039895ac0200ec011b&mid=8901&needMovieInfo=1&tploption=1&_=1428996146
","dadi
","9422/速度与激情7/20
8901/战狼/1
"
1,dadi, '0026,上海梅陇, '872,'1264469158267977727,'bff8fa7de2440eb9c8213d0c,http://www.nuomi.com/cinema/bff8fa7de2440eb9c8213d0c,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=bff8fa7de2440eb9c8213d0c&mid=9422&needMovieInfo=1&tploption=1&_=1428996148
http://www.nuomi.com/pcindex/main/timetable?cinemaid=bff8fa7de2440eb9c8213d0c&mid=9414&needMovieInfo=1&tploption=1&_=1428996149
","dadi
","9422/速度与激情7/39
9414/王牌特工：特工学院/1
"
1,dadi, '0027,江门地王, '1593,'1261959570222219263,'e889a7443740e6ac8605bf66,http://www.nuomi.com/cinema/e889a7443740e6ac8605bf66,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=e889a7443740e6ac8605bf66&mid=9422&needMovieInfo=1&tploption=1&_=1428996152
","dadi
","9422/速度与激情7/25
"
