城市,影院id, 影厅id,场次号,开始时间,周几,marketPrice,price,理论价
first,105,155,1422288600000010555,2015-01-27 00:10:00,2,100.0,100.0,60.0
first,105,155,1422375000000010555,2015-01-28 00:10:00,3,100.0,100.0,60.0
first,105,155,1422461400000010555,2015-01-29 00:10:00,4,100.0,100.0,60.0
first,105,161,1422547200000010561,2015-01-30 00:00:00,5,80.0,80.0,48.0
first,143,723,1422288000000014323,2015-01-27 00:00:00,2,70.0,70.0,42.0
first,143,724,1422288300000014324,2015-01-27 00:05:00,2,70.0,35.0,42.0
first,143,723,1422326100000014323,2015-01-27 10:35:00,2,80.0,25.0,30
first,143,724,1422326400000014324,2015-01-27 10:40:00,2,70.0,25.0,30
first,143,719,1422333000000014319,2015-01-27 12:30:00,2,80.0,25.0,30
first,143,724,1422334800000014324,2015-01-27 13:00:00,2,70.0,25.0,30
first,143,722,1422335400000014322,2015-01-27 13:10:00,2,80.0,25.0,30
first,143,723,1422335700000014323,2015-01-27 13:15:00,2,70.0,25.0,30
first,143,720,1422338400000014320,2015-01-27 14:00:00,2,80.0,25.0,30
first,143,723,1422342000000014323,2015-01-27 15:00:00,2,70.0,25.0,30
first,143,719,1422342600000014319,2015-01-27 15:10:00,2,80.0,25.0,30
first,143,724,1422343200000014324,2015-01-27 15:20:00,2,70.0,25.0,30
first,143,722,1422344400000014322,2015-01-27 15:40:00,2,80.0,25.0,30
first,143,720,1422348600000014320,2015-01-27 16:50:00,2,80.0,25.0,30
first,143,723,1422374400000014323,2015-01-28 00:00:00,3,70.0,70.0,42.0
first,166,3144,1422288900000016644,2015-01-27 00:00:00,2,70.0,35.0,42.0
first,167,3148,1422273000000016748,2015-01-26 19:50:00,1,120.0,120.0,72.0
first,167,3148,1422330600000016748,2015-01-27 11:50:00,2,120.0,60.0,30
first,167,3148,1422340200000016748,2015-01-27 14:30:00,2,120.0,60.0,30
first,167,3148,1422349800000016748,2015-01-27 17:10:00,2,120.0,60.0,30
first,167,3148,1422359400000016748,2015-01-27 19:50:00,2,120.0,60.0,72.0
second,114,213,1422270000000011413,2015-01-26 19:00:00,1,80.0,80.0,48.0
second,114,213,1422276600000011413,2015-01-26 20:50:00,1,80.0,80.0,48.0
second,114,213,1422282900000011413,2015-01-26 22:35:00,1,80.0,80.0,48.0
second,114,213,1422324600000011413,2015-01-27 10:10:00,2,80.0,80.0,25
